codigo;nombre
PX-001;EFECTO DEL CONTENIDO DE ARENA EN LA RESISTENCIA DE HORMIGONES NORMALES (CEMENTO MELÓN ESPECIAL: Tmáx=40, 20 mm: %TAMIZ N°4: 35%, 40%, 45%, 50%)
PX-002;EFECTO ARENA COLINAS DE ORO EN HORMIGONES DE PLANTA VIÑA (MEZCLA ARENAS COLINA DE ORO/CONOVIA)
PX-003;HORMIGONES DE PRUEBA PLANTA PUERTO MONTT  (CEMENTO MELÓN EXTRA)
PX-004;EFECTO DE LOS ADITIVOS EN LA PERMEABILIDAD AL AGUA DEL HORMIGÓN
PX-005;RESUMEN DE EXPERIENCIAS DE HORMIGÓN CELULAR Y MORTERO PLANTA CONCEPCIÓN
PX-006;RESISTENCIA A EDAD TEMPRANA CEMENTO MELÓN EXTRA ADITIVOS ALTERNATIVOS A  322-N
PX-007;EFECTO DE FIBRA POLIESTER EN HORMIGONES
PX-008;HORMIGONES DE PRUEBA CON CEMENTO MELÓN ESPECIAL Y CEMENTO POLPAICO ESPECIAL
PX-009;HORMIGÓN COLOREADO - PIGMENTO VERDE, SCOFIELD
PX-010;SELECCIÓN DE ADITIVO REDUCTOR PLASTIFICANTE RETARDADOR CEMENTO BIO-BIO ESPECIAL  APLICACIÓN R .METROPOLITANA/RANCAGUA
PX-011;INVESTIGACIÓN CEMENTO BIO-BIO ESPECIAL - APLICACIÓN R. METROPOLITANA/RANCAGUA
PX-012;HORMIGONES CON ÁRIDOS SOMINCA Y CEMENTO BIO-BIO ESPECIAL - APLICACIÓN A PLANTA PEÑALOLÉN
PX-013;CEMENTO BIO-BIO ESPECIAL - ADITIVOS ALTERNATIVOS A   CM-1 (0,50%) - APLICACIÓN REGION METROPOLITANA, RANCAGUA, CONCEPCIÓN
PX-014;HORMIGONES ALTA RESISTENCIA -  SILICA FUME: FLUICRETE A.R. (QUÍMICA SGM)
PX-015;CEMENTO MELÓN EXTRA 2 - ADITIVOS 100RB Y CM1     APLICACIÓN: HN30.0(95)40-06-0.40 (BELFI – VALPARAÍSO)
PX-016;HORMIGONES DE PRUEBA PLANTA CON CON   ARENA MEZCLA:  PRODUCTOR / ESTERO        LLIU-LLIU
PX-017;HORMIGÓN CELULAR LIVIANO CON ARENAS DE DISTINTO MÓDULO DE FINURA
PX-018;HORMIGONES DE PRUEBA - CEMENTO BIO-BIO ALTA RESISTENCIA INICIAL (ARI)
PX-019;HORMIGONES DE PRUEBA PLANTA ACONCAGUA  ARENA MEZCLA: INDUSTRIAL / LEPANTO  (POZO LO IZQUIERDO – LO ARCAYA)
PX-020;HORMIGÓN DE PAVIMENTO HP 35(80)20-04 CON 6% DE AIRE INCORPORADO - ÁRIDOS ANTUCO
PX-021;SENSIBILIDAD DOSIS ADITIVO REDUCTOR  CEMENTO MELÓN ESPECIAL, MELÓN EXTRA,       BIO-BIO ARI  DOSIS DE ADITIVO: 0%, 0.20%, 0.40%, 0.60%, 0.80%.
PX-022;COMBINACIÓN DE ARENAS: ESTERO EL YALI / SAN JUAN FINA -APLICACIÓN PLANTA SAN ANTONIO
PX-023;SHOTCRETE VÍA HÚMEDA - DOMO VENTANAS/MELÓN    ÁRIDO MEGARIDOS CON-CON / CEMENTO MELÓN EXTRA2 - APLICACIÓN PLANTA CON-CON
PX-024;ADITIVOS SUPERPLASTIFICANTES ALTERNATIVOS A    RHEOBUILD-1000
PX-025;HORMIGONES DE PRUEBA PRELIMINARES PROYECTO CANDELARIA II -ÁRIDO POZO H. RODRIGUEZ, RÍO COPIAPÓ
PX-026;HORMIGÓN CELULAR LIVIANO   ARENA SOMINCA FINA / CEMENTO MELÓN EXTRA CAMBIO DE ARENA FINA EN REGION  METROPOLITANA
PX-027;EFECTO DE ARENAS LAMPA EN HORMIGONES PLANTA ACONCAGUA.  MEZCLAS DE ARENAS BAJO MAIPO – LAMPA
PX-028;MEDICIÓN TIEMPO DE FRAGUADO PARA HORMIGONES PREFABRICADOS  -  COMPARACIÓN ENTRE ADITIVOS SUPERPLASTIFICANTES (SUPERPLAST-2300, RHEOBUILD-1000)
PX-029;ARENA ARTIFICIAL READY MIX
PX-030;HORMIGÓN DE PRUEBA PARA VIGAS POSTENSADAS (LA SERENA):  PRODUCTO R  = 350 KGF/CM2 A 7 DÍAS
PX-031;CEMENTO POLPAICO 400 V/S CEMENTO MELÓN EXTRA
PX-032;MORTERO FLUIDO: EMPLEO DE CÁPSULAS DARAFILL-GRACE
PX-033;COMPARACIÓN CEMENTO INACESA ALTA RESISTENCIA, MELÓN ESPECIAL, MELÓN EXTRA – ÁRIDOS EL ABRA.  HORMIGÓN CONFECCIONADO EN EL ABRA
PX-034;SHOTCRETE VÍA HÚMEDA – DOMO VENTANAS / MELÓN
PX-035;HORMIGONES DE PRUEBA PARA PROYECTO RADOMIRO TOMIC - CEMENTO INACESA ALTA RESISTENCIA
PX-036;EFECTO ÁRIDOS DISTINTOS EN RESISTENCIA A COMPRESIÓN Y FLEXOTRACCIÓN EN HORMIGÓN. ESTUDIO ÁRIDOS SANTA LAURA, SOMINCA, B. MAIPO, ARI2
PX-037;HORMIGONES DE PRUEBA CON CEMENTO INACESA ALTA RESISTENCIA (AR) -   ÁRIDOS SANTA LAURA – CM1 (0.55%) – Tmáx 40, 20 mm
PX-038;HORMIGÓN DE PRUEBA CON ÁRIDOS BAJO MAIPO - CEMENTO MELÓN EXTRA, Tmáx 40 y 20 mm, CONO = 6 cm
PX-039;COMPARACIÓN ADITIVOS REDUCTOR PLASTIFICANTE.  ADITIVOS VARIOS QUÍMICA SGM, JORGE VALENZUELA (CM1, MBT-136, CM11, CM12, ARA1, ARA2, RM2, PR1, PR2, PR3, PR4)
PX-040;ADITIVOS QUÍMICA SGM ALTERNATIVOS A CM-1 (CM11 Y CM12)
PX-041;MORTEROS PARA SHOTCRETE CON FIBRA DE POLIPROPILENO Y ACERO
PX-042;HORMIGONES DE PRUEBA PARA PROYECTO  DOÑA INÉS DE COLLAHUASI
PX-043;EFECTO DEL TAMAÑO MÁXIMO EN LA RESISTENCIA A COMPRESIÓN
PX-044;EMPLEO DE ÁRIDOS CHANCADOS DE ORIGEN GRANITO - PROYECTO MEGARIDOS
PX-045;HORMIGÓN CELULAR LIVIANO PLANTA VIÑA DEL MAR: ARENA MELOSILLA
PX-046;EFECTO DEL CONTENIDO DE ARENA EN LA RESISTENCIA A COMPRESIÓN - CEMENTO MELÓN ESPECIAL: Tmáx=40,  20 mm: %TAMIZ N°4: 35%, 40%, 45%, 50%, 55%, 60%)
PX-047;ADITIVOS RETARDADORES PARA HORMIGONADO EN TIEMPO CALUROSO.
PX-048;HORMIGÓN COLOREADO - CERQUIM AMARILLO Y ROJO / SCOFIELD: ADOBE TAN,                        C15 – COACHELLA SAND
PX-049;HORMIGÓN DE PAVIMENTO CON FIBRA DRAMIX
PX-050;DISEÑO ALTERNATIVO A HF 4.8 A 28 DÍAS
PX-051;EFECTO DEL ADITIVO INCORPORADOR DE AIRE EN LA TRABAJABILIDAD Y RESISTENCIA MECÁNICA DEL HORMIGÓN
PX-052;MEZCLA DE ARENAS: CONOVIA / LAGUNA VERDE, SANTA LAURA / MARINA MORAGA, SANTA LAURA / ARIDOSMIL
PX-053;ADICIÓN DE NITRÓGENO LÍQUIDO AL HORMIGÓN – HORMIGONES CON TEMPERATURA 25°C, 20°C, 15°C, 10°C, 5°C
PX-054;HORMIGÓN CELULAR PLANTA CONCEPCIÓN:   ARENAS BIO BIO - BELFI
PX-055;HORMIGÓN CON GRAVILLA RODADA - MURO A LA VISTA NISSAN MARUBENI
PX-056;CONTROL DE PÉRDIDA DE CONO - DIVERSOS ADITIVOS
PX-057;HORMIGÓN CON ADITIVO PLASTIFICANTE HENKEL
PX-058;EMPLEO DE ÁRIDOS CHANCADOS DE ORIGEN GRANITO – PROYECTO MEGARIDOS
PX-059;HORMIGONES PLANTA VALPARAÍSO - RESISTENCIA A FLEXOTRACCIÓN MEZCLA CONOVIA / LAGUNA VERDE
PX-060;HORMIGONES PARA PAVIMENTO - RESISTENCIA A FLEXOTRACCIÓN
PX-061;RESISTENCIA A 14 HRS : 70 KGF/CM2 - OBRAS ZUBLIN
PX-062;MORTEROS CON AIRE INCORPORADO
PX-063;HORMIGONES PARA ARGENTINA
PX-064;HORMIGÓN ALTA RESISTENCIA - MAKRO GRAU HN45(80)20-03
PX-065;HORMIGONES ÁRIDOS PELUMPEN. COMPARACIÓN ÁRIDOS VIÑA - ÁRIDOS PELUMPEN
PX-066;HORMIGONES A EDAD TEMPRANA CON TIEMPO DE VIAJE LARGO
PX-067;HORMIGONES PARA VIGA DE PUENTE:  INLAC
PX-068;EFECTO DEL TAMAÑO MAXIMO DEL ARIDO EN LA RESISTENCIA DEL HORMIGON – BAJO MAIPO, SOMINCA
